Book,Chapter,Verse,Text
GEN,1,22,"Tak O̩jo̩ de̩nyo̩ ñw uma kakini, Ame̩ ki rabi ku me̩ wewe nyo̩gba ku me̩ che̩ko̩ ef omi ohimini abadi, ame̩we̩ ki nawewe nyo̩gba ane̩-ile̩."
GEN,1,23,"Oñ ane̩ do̩mo̩, odudu la do̩mo̩, o̩jo̩ e̩ke̩lu."
GEN,1,24,"Tak O̩jo̩ kakini, Ile̩ ki nakʼamonugo e̩wñ iñmi dufu uche̩ uche̩-ma, ame̩la abe̩re̩me̩le̩ kpai ame̩wñ ki afa kpai ame̩wñ iñmi ane̩-ile̩ uche̩ uche̩-ma. Abe̩le̩ i la de̩."
GEN,1,25,"Tak O̩jo̩ che ame̩wñ iñmi ane̩-ile̩-i uche̩ uche̩-ma, kpai ame̩la abe̩re̩me̩le̩ uche̩ uche̩-ma, kpai ame̩wñ du ki afa ane̩pe̩te̩ uche̩ uche̩-ma: O̩jo̩ la li kʼi nyo̩."
GEN,1,26,"Tak O̩jo̩ kakini, Awa ki che one̩ rʼojibo-wa, ku ma bi awa onugo: ama ki la nʼo̩da ame̩ja ki jʼef ohimini abadi, kpai ame̩we̩ ojale, kpai ame̩la abe̩re̩me̩le̩, kpai ane̩-ile̩ du, kpai e̩wñ du ki afa, e-ki afa ane̩-ile̩-i."
GEN,1,27,"Abe̩le̩ O̩jo̩ fʼone̩ nyi ojibo-wñ onugo, e̩go̩ ojibo O̩jo̩ oñ i nyʼi; e̩ne̩ke̩le̩ kpai onobule̩ oñ i nyi ma."
GEN,1,28,"Tak O̩jo̩ de̩nyo̩ ñw uma, O̩jo̩ la ka ñw uma kakini, Ame̩ ki bi o̩ma, ku me̩ ki wewe nyo̩gba ku me̩ che̩ko̩ ane̩-ile̩-i ku me̩ fʼu dolo te̩; ame̩ ki la nʼo̩da ame̩ja ef ohimini kpai ame̩we̩ ojale kpai ame̩wñ iñmi du ki achiche̩ ane̩-ile̩-i."
GEN,1,29,"Tak O̩jo̩ kakini, Go, omi mʼeñmi kwe̩ kwe̩ kwe̩ du ki aro ulu-wñ ko ñw ume̩, e-du ki bʼane̩-ile̩ ma, kpai oli du kʼe̩ro-wñ nʼe̩yo̩ efu; e-le̩ achʼuje̩wñ ñw ame̩."
GEN,1,30,"Kpai ame̩wñ iñmi ane̩-ile̩ okoke du, kpai ame̩we̩ ojale okoke du, kpai ame̩wñ du ki afa ane̩-ile̩-i; e-du kʼonugo e-iñmi dʼef uwñ, e̩wñ eñmi emimi kwe̩ kwe̩ kwe̩ du chʼutodu uje̩wñ. Abe̩le̩ i la de̩."
GEN,1,31,"O̩jo̩ la fʼe̩wñ du kʼi che li, me̩ la go, i nyo̩ tabale. Oñ ane̩ do̩mo̩, odudu la do̩mo̩, o̩jo̩ e̩ke̩fa."
GEN,2,1,"Abe̩le̩ efojale kpai ane̩-ile̩ fʼoji ne̩ kpa, kpai uwewe ame̩wñ-ma du."
GEN,2,2,"Oñ o̩jo̩ ekebie̩-wñ uko̩lo̩ kʼO̩jo̩ che le̩ takpa, tak o̩jo̩ ekebie le̩ i ñmi uko̩lo̩-wñ du kʼi che."
GEN,2,3,"Tak O̩jo̩ de̩nyo̩ ñw o̩jo̩ ekebie le̩ i la chʼo kʼi fo̩, todabu ki chʼo̩jo̩ kʼi ñmi uko̩lo̩-wñ du e-kʼO̩jo̩ nyi kpai e-kʼi che."
GEN,2,4,"Inabali efojale kpai ane̩-ile̩-i e̩gba ku ma nyi ma, o̩jo̩ ki Jihofa O̩jo̩ che ane̩-ile̩ kpai efojale le̩ de̩."
GEN,2,5,"E̩gbale̩ e̩wñ emimi oko du dʼane̩-ile̩-i ta n, e̩wñ eñmi kwe̩ kwe̩ kwe̩ oko du la tiga ta n— todabu ki Jihofa O̩jo̩ ma che kʼomi ki lo̩ bʼane̩-ile̩ ma ta n, e̩ne̩ du la do̩mo̩ kʼi aluche̩ ane̩ n;"
GEN,2,6,chai eli chi kwane̩ ane̩-ile̩ oñ i chi omi bʼeju ane̩ du ma—
GEN,2,7,"taku Jihofa O̩jo̩ nʼebutu fʼone̩ bo̩, oñ i ñmiñmi afu e-iñmi nyʼiñmo̩-wñ; oñ one̩ mud onugo one̩ kʼi nʼiñmi."
GEN,2,8,"Taku Jihofa O̩jo̩ fʼe̩wñ gbe̩ ef uche̩ Ide̩n, o̩wo̩ olodudu-wñ; o̩mo̩ i la du one̩ kʼi bo̩ le̩ te̩."
GEN,2,9,"Jihofa O̩jo̩ la che kʼoli du ki fe̩rʼeju kpai e-ki nyo̩ todu uje̩wñ kʼi tiga kwef ane̩, kpai oli e-iñmi alumeji uche̩ le̩ ge̩, kpai oli uma-e̩wñ-e̩nyo̩-kpai-e̩bie̩ne̩."
GEN,2,10,"Ohiminiʼka la cha kwef Ide̩n ki chʼomi rʼuche̩ le̩, akwʼo̩mo̩ i la mukpe̩ akanaba me̩le̩."
GEN,2,11,Odu e-ejodudu ko̩ Piso̩n: owñ chʼe-ki le ane̩ Hafila du ugbo kʼo̩jamalia de̩ le̩ daka;
GEN,2,12,o̩jamalia ane̩ le̩ la chenyo̩: o̩mo̩ okuta de̩lium kpai o̩niks de̩.
GEN,2,13,Odu ohimini ekeji la ko̩ Giho̩n: e-le̩ chʼe-ki ale ane̩ Kush du daka.
GEN,2,14,Odu ohimini e̩ke̩ta la ko̩ Hide̩ke̩l: e-le̩ chʼe-kʼi a cha lʼo̩wo̩ olodudu Asiria le̩. Oñ ohimini e̩ke̩le̩ che Yufretis.
GEN,2,15,"Oñ Jihofa O̩jo̩ mʼone̩ du, oñ i mʼu du tef uche̩ Ide̩n kʼi lʼo, kʼi la nade."
GEN,2,16,"Taku Jihofa O̩jo̩ tuko̩ ñw one̩ kakini, E̩ro oli du ef uche̩-i e̩je̩ oñ e̩ je̩ hiaa:"
GEN,2,17,"ama e̩ro oli uma-e̩wñ-e̩nyo̩-kpai-e̩bie̩ne̩, uwe̩ ki je̩ e-le̩ n: todu o̩jo̩ kʼe̩ jʼe-le̩ eku oñ e̩ ku."
GEN,2,18,"Taku Jihofa O̩jo̩ kakini, I nyo̩ kʼone̩ kate kʼi do̩mo̩ abe̩le̩ n; omi ache e̩ne̩ ki abʼo̩ che kʼi chʼoje̩go̩-wñ."
GEN,2,19,"Jihofa O̩jo̩ la nʼike̩te̩ bo̩ ame̩wñ iñmi oko okoke du, kpai ame̩we̩ ojale okoke du; tak i mʼu ko wʼugbo one̩ kʼi go alu kʼi adʼodu ñw uma: oñ e̩wñ du kʼone̩ dʼodu onugo e̩wñ iñmi le̩ okoke du ko̩, mak e-le̩ chʼodu-wñ."
GEN,2,20,"Oñ one̩ mʼodu du ñw ame̩la abe̩re̩me̩le̩ du, kpai ame̩we̩ ojale, kpai ame̩wñ iñmi oko okoke du; ma muda li e̩ne̩ kʼi chʼoje̩go̩ one̩ kʼi abʼo̩ che n."
GEN,2,21,"Taku Jihofa O̩jo̩ je̩ ñw olu lile mʼone̩ du, oñ abu kʼi alolu i mʼikeli-wñ oka du, oñ i mʼo̩re̩la du dabi boma koji:"
GEN,2,22,"tak ikeli ki Jihofa O̩jo̩ du kwef one̩ i mudu che onobule̩, oñ i mʼowñ du wʼugbo one̩."
GEN,2,23,"Tak one̩ kakini,"
GEN,2,24,"Todule̩ e̩ne̩ke̩le̩ atʼata-wñ kpai iye-wñ no̩ kʼi la amanyʼo̩ya-wñ, oñ ama amud o̩re̩la okate."
GEN,2,25,"Ama meji la tago ofo, owñ chʼone̩ kpai o̩ya-wñ, ma la chanyo̩ n."
GEN,3,1,"Ejo le̩ la gbeju tʼame̩wñ iñmi oko du ki Jihofa O̩jo̩ che le. Oñ i ka ñw onobule̩ le̩ kakini, Ochochi, O̩jo̩ ka kʼame̩ ki jʼe̩ro oli du ef uche̩-i n?"
GEN,3,2,"Tak onobule̩ le̩ ka ñw ejo kakini, E̩ro oli uche̩-i a aje̩;"
GEN,3,3,"ama e̩ro oli e-kʼi dʼalumeji uche̩-i, O̩jo̩ kakini, Me̩ ki je̩ e-le̩ n, me̩ ki la do̩wo̩kadʼo n, tode̩gba ku me̩ aku."
GEN,3,4,"Ama ejo le̩ ka ñw onobule̩ kakini, I chʼeku me̩ aku n."
GEN,3,5,"Todu O̩jo̩ chema ka kʼo̩jo̩ ku me̩ je̩ e-le̩ e̩gbale̩ tak eju-me̩ ane̩, taku me̩ adab O̩jo̩, me̩ ama e̩nyo̩ kpai e̩bie̩ne̩."
GEN,3,6,"Tak onobule̩ le̩ li ka kʼoli le̩ chenyo̩ todu uje̩wñ, kʼi laño̩ chʼuto̩ eju, kʼoli le̩ laño̩ chʼe̩wñ ki nyo̩ one̩ eju kʼi aje̩ ñw u nʼibe, i mʼe̩ro-wñ ka i la mudu je̩; i ño̩ mudu ñw o̩ko̩-wñ kpai owñ, i laño̩ je̩ ge̩."
GEN,3,7,"Tak eju-ma meji mune̩, oñ ma ma ka ku ma tago ofo; taku ma fʼeñmi o̩gbaikolo ga mʼomune̩ oñ ma mʼu ko che e̩wñ ulago ñw o̩la-ma."
GEN,3,8,"Taku ma gbo̩ abu ku Jihofa O̩jo̩ alule̩ ef uche̩ le̩ adiko e̩gba kʼafu afe̩rʼo̩la, tak one̩ kpai o̩ya-wñ mʼo̩la-ma ko maja bʼeju Jihofa O̩jo̩ te̩ ef ujʼoli uche̩ le̩."
GEN,3,9,"Taku Jihofa O̩jo̩ nomudala do̩ one̩, i la ka ñw u kakini, Ugbo e̩ de̩?"
GEN,3,10,"Oñ i kakini, U gbʼiche̩-we̩ ef uche̩, oñ u railo, todabu kʼu tago ofo; tak u dʼo̩lami maja-i."
GEN,3,11,"Tak i kakini, E̩ne̩ ka ñw e̩ ka kʼe̩ tago ofo? Uwe̩ je̩ e̩ro oli e-kʼomi tuko̩ ñw e̩ ka kʼe̩ we eje̩ le̩?"
GEN,3,12,"Tak one̩ kakini, Onobule̩ kʼe̩ duwa kʼi dʼugbo mi, owñ mʼe̩ro oli le̩ du ñw mi, oñ u mʼu du je̩."
GEN,3,13,"Taku Jihofa O̩jo̩ ka ñw onobule̩ le̩ kakini, E̩wñ chʼe-kʼuwe̩ che-i? Tak onobule̩ le̩ kakini, Ejo le̩ gba mi ibe, tak u je̩."
GEN,3,14,"Taku Jihofa O̩jo̩ ka ñw ejo kakini,"
GEN,3,15,"Nanyi o̩la tʼagbagba uwe̩ kpai onobule̩,"
GEN,3,16,"Tak i ka ñw onobule̩ kakini,"
GEN,3,17,"Tak i ka ñw one̩ kakini,"
GEN,3,18,ikeke kpai edudu egbe oñ i adufu ñw e̩ ge̩;
GEN,3,19,Ugu atʼe̩ oji tak e̩ jʼuje̩wñ
GEN,3,20,One̩ la dʼodu o̩ya-wñ ko̩ If todabu kʼowñ chʼugugu iye ñw e̩wñ du ki deju.
GEN,3,21,"Taku Jihofa O̩jo̩ fʼafe̩ año̩ che tod one̩ kpai o̩ya-wñ, oñ i mʼu du tʼo̩la-ma."
GEN,3,22,"Taku Jihofa O̩jo̩ kakini, Go, one̩ dab awa me̩, i chema e̩nyo̩ kpai e̩bie̩ne̩; fai, tode̩gba kʼi anʼo̩wo̩-wñ dala kʼi laño̩ mʼe̩ro oli e-iñmi ka, kʼi je̩, kʼi la adeju ogbegbele̩—"
GEN,3,23,"todule̩ Jihofa O̩jo̩ mʼowñ du kwef uche̩ Ide̩n dufu, kʼi naluche̩ ane̩ e-ku ma dʼowñ kwefu-wñ le̩."
GEN,3,24,"Abe̩le̩ i fʼone̩ le̩ ne dufu; tak i kʼamiche̩rub, kpai o̩go̩ una kʼi dab o̩kwo̩chageli kʼi arida okokolo gugu o̩wo̩ olodudu uche̩ Ide̩n, ku ma de o̩na oli e-iñmi le̩."
GEN,4,1,"Oñ one̩ fʼo̩ya-wñ If ma, oñ i fʼefu nyo̩ i la fu Ken bi, i kakini, U fʼe̩ne̩ke̩le̩ ne̩ lʼugbo Jihofa me̩."
GEN,4,2,"Tak i ño̩ bi o̩maye-wñ Ebe̩l ge̩. Ebe̩l la chʼadejute̩ ame̩wño̩re̩ egini, Ken muda chʼaluche̩."
GEN,4,3,"Gbogbo taku Ken mʼe̩ro uche̩ ko wa kʼi du che Jihofa ele,"
GEN,4,4,"Ebe̩l ge̩, i ño̩ chi kwef amo̩mojo̩do̩ ame̩wño̩re̩-wñ egini wa, e-ki yoyo efu-ma. Jihofa la go Ebe̩l kpai e̩wñ ele kʼi kowa,"
GEN,4,5,"i muda go Ken kpai e̩wñ ele kʼi kowa le̩ n. Taku Ken we̩do̩ nana, eju-wñ la kpa."
GEN,4,6,"Taki Jihofa ka ñwu Ken kakini, E̩wñ chi kʼe̩ we̩do̩, e̩wñ chi kʼeju-we̩ la chʼe̩kpa-i?"
GEN,4,7,"Iche̩wñ kʼuwe̩ ache e̩nyo̩, eju-we̩ achʼeju anyi n? Iche̩wñ kʼuwe̩ ma che e̩nyo̩ n, mak adure adade alugbo̩na le̩; i añeju we̩, uwe̩ ki muda nʼo̩da-wñ."
GEN,4,8,"Taki Ken ko̩la ñw Ebe̩l o̩maye-wñ, oñ abu ku ma jʼoko, Ken kwane̩ tʼEbe̩l o̩maye-wñ o̩la, oñ i mʼu du kpa."
GEN,4,9,"Taku Jihofa ka ñwu Ken kakini, Ugbo Ebe̩l o̩maye-we̩ de̩? Oñ i kakini, U ma no; omi chʼadejute̩ o̩maye-mi?"
GEN,4,10,"Tak i kakini, E̩wñ uwe̩ che-i? Omuko̩la e̩bie̩ o̩maye-we̩ dʼef ane̩ akwa do̩ mi."
GEN,4,11,"Fai ama la fʼe̩ mu kwef ane̩, e-ki mʼalu-wñ chi te̩ kʼi gba e̩bie̩ o̩maye-we̩ kwef o̩wo̩-we̩ le̩."
GEN,4,12,"E̩gba kʼe̩ luche̩ ane̩-i, akwe̩gba-i i ñʼadʼukpahiu-wñ ñw e̩ ge̩ n; e̩nara kpai e̩nujulu oñ uwe̩ ache ane̩-ile̩-i."
GEN,4,13,"Taki Ken ka ñwu Jihofa kakini, Udu kʼe̩ bu mi-i i nana tʼumi le."
GEN,4,14,"Go, e̩ fʼumi ne bʼeju ane̩ te̩ eñini-i me̩; u la ñʼamaja bʼeju-we̩ te̩ ge̩; tak u nachʼe̩nara kpai e̩nujulu ane̩-ile̩, i dʼabe̩le̩ mak e̩ne̩ du kʼi li mi adʼumi kpa."
GEN,4,15,"Taku Jihofa ka ñw u kakini, I chʼabe̩le̩ n! E̩ne̩ du kʼi du Ken kpa, ma akpʼo̩chi-wñ onu mebie. Taki Jihofa mʼujiwe du gamu Ken o̩la, tode̩gba kʼe̩ne̩ kʼi liʼu adʼu kpa."
GEN,4,16,"Taki Ken kwo bʼeju Jihofa te̩, oñ i kwo gugu ane̩ No̩d, o̩wo̩ olodudu Ide̩n."
GEN,4,17,"Taki Ken fʼo̩ya-wñ ma, oñ i fʼefu nyo̩ i la fʼIno̩k bi; tak i le teke fʼodoʼka do, i la mʼodu ewo le̩ du rodu o̩ma-wñ, Ino̩k."
GEN,4,18,"Ma la bi Irad ñw Ino̩k; Irad la bi Me̩hujae̩l, Me̩hujae̩l la bi Me̩tushae̩l, Me̩tushae̩l la bi Lame̩k."
GEN,4,19,"Taki Lame̩k fʼo̩ya meji ne̩ ñw o̩la-wñ; odu oka ko̩ Ada, oñ odu ekeji-wñ ko̩ Zila."
GEN,4,20,Ada la bi Jabal; owñ chʼata abo ku ma gugu ef unyabo ku ma ne̩ ame̩wñ-ukpa.
GEN,4,21,Odu o̩maye-wñ e̩ne̩ke̩le̩ ko̩ Jubal; owñ la chʼata abo du ku ma nʼumolo kpai o̩kpachine̩.
GEN,4,22,"Taki Zila, onobule̩ le̩, bi Tubal-ken, owñ chʼe̩ne̩ kʼi anʼebijeikpa kpai ebije gwu e̩wñ eku ojoji du. O̩maye Tubal-ken onobule̩ che Naama."
GEN,4,23,Oñ Lame̩k ka ñw amo̩ya-wñ kakini:
GEN,4,24,"Iche̩wñ ku ma akpʼo̩chi Ken onu mebie,"
GEN,4,25,"Ade̩m ño̩ fʼo̩ya-wñ ma ge̩, oñ i fʼo̩me̩ne̩ke̩le̩ bi i la dʼodu-wñ ko̩ Se̩t, todu O̩jo̩ mʼugbe̩ omune̩ dute̩ ñwu mi koji Ebe̩l me̩, todu Ken fʼowñ kpa."
GEN,4,26,"Se̩t ge̩, ma ño̩ fʼo̩me̩ne̩ke̩le̩ bi ñw u, tak i dʼodu-wñ ko̩ Ino̩sh. E̩gbale̩ tak amone̩ chane̩ e̩do̩ odu Jihofa."
GEN,5,1,O̩takada o̩lo̩pu Ade̩m o̩gba o̩gba de̩. Iko o̩jo̩ kʼO̩jo̩ nyi one̩ i chʼo kʼi biu O̩jo̩.
GEN,5,2,"O̩ko̩ kpai o̩ya oñ i nyi ma, i laño̩ de̩nyo̩ ñwu ma oñ i dʼodu-ma ko̩ Ade̩m o̩jo̩ kʼi nyi ma."
GEN,5,3,"Ade̩m la dʼo̩do̩ o̩gbo̩ me̩fa nyoke me̩gwa, tak i bi o̩me̩ne̩ke̩le̩ ki chebiu owñ onugo, dab ojibo-wñ, i la dʼodu-wñ ko̩ Se̩t."
GEN,5,4,Oñ o̩jo̩ Ade̩m abu kʼi fu Se̩t bi ño̩ jo̩ o̩do̩ icham; i ño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩.
GEN,5,5,O̩jo̩ kʼAde̩m deju chaka du la chʼo̩do̩ icham nyʼo̩gbo̩ me̩fa nyoke me̩gwa; tak i leku.
GEN,5,6,"Se̩t la dʼo̩do̩ ogume̩lu nyoke me̩lu, tak i bi Ino̩sh."
GEN,5,7,"Abu kʼi fʼIno̩sh bi Se̩t ño̩ deju o̩do̩ icham nyoke mebie, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,8,Abe̩le̩ o̩jo̩ Se̩t chaka du la chʼo̩do̩ icham nyʼogume̩lu nyoke me̩gweji; tak i leku.
GEN,5,9,"Oñ Ino̩sh deju o̩do̩ o̩gbo̩ me̩le̩ nyoke me̩gwa, tak i bi Kenan."
GEN,5,10,"Abu kʼi fu Kenan bi Ino̩sh ño̩ deju o̩do̩ icham nyoke me̩gwe̩lu, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,11,Abe̩le̩ o̩jo̩ Ino̩sh chaka du la chʼo̩do̩ icham nyʼogume̩lu nyoke me̩lu; tak i leku.
GEN,5,12,"Oñ Kenan deju o̩do̩ o̩gbo̩ me̩ta nyoke me̩gwa, tak i bi Mahalale̩l."
GEN,5,13,"Abu kʼi fu Mahalale̩l bi Kenan ño̩ deju o̩do̩ icham nyʼo̩gbo̩ meji, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,14,Abe̩le̩ o̩jo̩ Kenan chaka du la chʼo̩do̩ icham nyʼogume̩lu nyoke me̩gwa; tak i leku.
GEN,5,15,"Oñ Mahalale̩l deju o̩do̩ o̩gbo̩ me̩ta nyoke me̩lu, tak i bi Jare̩d."
GEN,5,16,"Abu kʼi fu Jare̩d bi Mahalale̩l ño̩ deju o̩do̩ icham nyʼogue̩gwa, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,17,Abe̩le̩ o̩jo̩ Mahalale̩l chaka du la chʼo̩do̩ icham nyʼo̩gbo̩ me̩le̩ nyoke me̩gwe̩lu; tak i leku.
GEN,5,18,Oñ Jare̩d deju o̩do̩ o̩gbo̩ me̩jo̩ nyoke meji tak i bi Ino̩k.
GEN,5,19,"Abu kʼi fu Ino̩k bi Jare̩d ño̩ deju o̩do̩ icham, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,20,Abe̩le̩ o̩jo̩ Jare̩d chaka du la chʼo̩do̩ icham nyʼo̩gbo̩ me̩jo̩ nyoke meji; tak i leku.
GEN,5,21,"Oñ Ino̩k deju o̩do̩ o̩gbo̩ me̩ta nyoke me̩lu, tak i bi Matusala."
GEN,5,22,"Abu kʼi fu Matusala bi Ino̩k tale kpai O̩jo̩ o̩do̩ oli me̩fa, i ño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,23,Abe̩le̩ o̩jo̩ Ino̩k chaka du la che o̩do̩ oli mebie nyoke me̩gwe̩lu.
GEN,5,24,"Ino̩k la tale kpai O̩jo̩; tak i ma ño̩ do̩mo̩ ge̩ n, todu O̩jo̩ mʼowñ du."
GEN,5,25,"Oñ Matusala deju o̩do̩ o̩gbo̩ me̩la nyoke mebie, tak i bi Lame̩k."
GEN,5,26,"Abu kʼi fu Lame̩k bi Matusala ño̩ deju o̩do̩ ulo̩gwa nyʼo̩gbo̩ me̩la nyoke meji, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,27,Abe̩le̩ o̩jo̩ Matusala chaka du la chʼo̩do̩ icham nyʼo̩gbo̩ me̩jo̩ nyoke me̩la; tak i leku.
GEN,5,28,"Oñ Lame̩k deju o̩do̩ o̩gbo̩ me̩la nyoke meji, tak i fʼo̩ma e̩ne̩ke̩le̩ bi,"
GEN,5,29,"oñ i dʼodu-wñ ko̩ Noa, i kakini, Owñ kide̩ anyʼuwa e̩do̩ ugbo uko̩lo̩-wa kpai ugbo akanya kʼa anʼo̩wo̩-wa che, todu ane̩ e-ki Jihofa nama ñw u."
GEN,5,30,"Abu kʼi fu Noa bi Lame̩k ño̩ deju o̩do̩ oke me̩lu chi ulo̩gwa, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩."
GEN,5,31,Abe̩le̩ o̩jo̩ Lame̩k chaka du la chʼo̩do̩ ulo̩gwa nyʼo̩gbo̩ me̩jo̩ nyoke me̩gwebie; tak i leku.
GEN,5,32,"Oñ o̩do̩ Noa chʼoli me̩gwa: Noa la fu She̩m,kpai Ham,kpai Jefe̩t bi."
GEN,6,1,"Abe̩le̩ e̩gba kʼamone̩ chane̩ ewewe bʼile̩-i ma, ku ma la bi amo̩ma onobule̩ ñwu ma,"
GEN,6,2,amo̩ma O̩jo̩ fʼamo̩ma onobule̩ amone̩ li ku ma chefe̩rʼeju; taku ma fʼuma tu chaka oñ ma nʼo̩ya kwef abo e-le̩ ñw o̩la-ma.
GEN,6,3,"Taku Jihofa kakini, Afu-mi achakanya nyʼone̩ gbogbo alo ef ila-ma ge̩ n, todabu kʼowñ chʼo̩re̩la, o̩jo̩-wñ achʼo̩do̩ o̩gbo̩ me̩fa ta."
GEN,6,4,"Amakachi jʼane̩-ile̩ adiko le̩, kpai anubi-wñ ge̩, e̩gba kʼamo̩ma O̩jo̩ wʼejefu ugbo amo̩ma onobule̩ amone̩, ku ma bi amo̩ma ñwu ma. Abo kide̩ chʼamagbiti ku ma do̩mo̩ igbelegbele, ama chʼame̩nuwohi le̩."
GEN,6,5,"Oñ Jihofa li kʼe̩bie̩ne̩ one̩ chʼololo ane̩-ile̩, kʼibe du ki dʼe̩do̩-wñ kʼi añwa chʼe̩bie̩ne̩ gbogbo dʼo̩jo̩."
GEN,6,6,"Tak e̩do̩ Jihofa murida ugbo one̩ kʼi che ane̩-ile̩, i la kpʼowñ e̩do̩ bie̩."
GEN,6,7,"Taki Jihofa kakini, Nakpʼone̩ kʼu nyi le̩ lu bʼeju ane̩ te̩, tʼone̩, tʼe̩la abe̩re̩me̩le̩, tʼame̩wñ ki afa, tʼame̩we̩ ojale, todu e̩do̩-mi murida eche ma kʼu che ma le̩."
GEN,6,8,Jihofa muda li Noa eju.
